ID,Name,Lat,Lng,Region
1049525,مؤسسة باسل محمد بن مصلح الجهني للمقاولات,24.4919,39.57617,North
524242,محل محمد صالح الردادي للساعات,27.52001,41.69542,North
1072595,تموينات مليحه محمد بن حسن الزبيدي للمواد الغذائية,19.53336,41.05078,South
420411,بوفية عائشه سعد عبدالرحمن العمري لتقديم الوجبات,24.7208,46.83066,Center
1071924,almustaqbal alwaid Grocery For food products,17.10018,42.78052,South
798051,مؤسسة نوره مفرح كهف الشمري للتجارة,0,0,
840870,Ahmad Raddod Hassan AlMaliki For Trading Establishment,0,0,
539462,Qamrah Salon For men's shaving,19.52081,41.05511,South
653142,خياط رحيم الجديد للخياطة الرجالية,26.3792,50.05914,East
1056210,MOHAMMED SAMEER ALANAZI Establishment,0,0,
899457,مؤسسة محرك النابض لخدمات السيارات,17.55208,44.25125,South
661907,مؤسسة لحظة نظر للتجارة,24.80813,46.86668,Center
1190697,مؤسسة فراس محيسن الدعدي التجارية,21.41571,39.85911,West
919563,مؤسسة مرزوقه غنيان عبدالغنى العميري للخضار والفواكه,21.44905,39.85641,West
894650,مطعم مطبق السكن لتقديم الوجبات,21.42863,39.29658,West
612848,بوفية نجاة علي عمر غالب لتقديم الوجبات,17.27851,43.05017,South
1059966,hamur alkaif Establishment,21.28288,40.43253,South
923303,مؤسسة روائع الخدمات للتشغيل والصيانة,24.79901,46.89288,Center
699915,محل حراج العمدة رقم للاسماك,24.46416,39.58252,North
1058531,KHALID NASSER JAZAA ALOSAIMI Hall For weddings and events,0,0,
1172818,SHAQRAA ALI ALABD Company,0,0,
1060538,عبدالله محمد بن سعد البقمي Establishment For Trading,21.21914,41.6399,South
816878,مؤسسة محل خيريه علي بن مريع القحطاني التجارية,18.30697,42.72965,South
1060538,عبدالله محمد بن سعد البقمي Establishment For Trading,21.21908,41.63974,South
1059125,Establishment BAALLAYL HUSSAIN SALEM,21.7596,40.65206,South
1059470,MUSAB MOHAMMED ALGHAMDI Establishment Commercial,21.36355,40.64883,South
660233,مؤسسة معجبه جابر علي القحطاني لقطع غيار السيارات,21.4533,40.45561,South
